series_id,category,method,forecast,horizon,timestamp
O1,MICRO,NAIVE2,4542.51,1,1
O1,MICRO,NAIVE2,4542.51,2,2
O1,MICRO,NAIVE2,4542.51,3,3
O1,MICRO,NAIVE2,4542.51,4,4
O1,MICRO,NAIVE2,4542.51,5,5
O1,MICRO,NAIVE2,4542.51,6,6
O1,MICRO,NAIVE2,4542.51,7,7
O1,MICRO,NAIVE2,4542.51,8,8
O1,MICRO,SINGLE,4542.51,1,1
O1,MICRO,SINGLE,4542.51,2,2
O1,MICRO,SINGLE,4542.51,3,3
O1,MICRO,SINGLE,4542.51,4,4
O1,MICRO,SINGLE,4542.51,5,5
O1,MICRO,SINGLE,4542.51,6,6
O1,MICRO,SINGLE,4542.51,7,7
O1,MICRO,SINGLE,4542.51,8,8
O1,MICRO,HOLT,4558.64,1,1
O1,MICRO,HOLT,4574.76,2,2
O1,MICRO,HOLT,4590.88,3,3
O1,MICRO,HOLT,4607,4,4
O1,MICRO,HOLT,4623.12,5,5
O1,MICRO,HOLT,4639.24,6,6
O1,MICRO,HOLT,4655.36,7,7
O1,MICRO,HOLT,4671.49,8,8
O1,MICRO,DAMPEN,4541.33,1,1
O1,MICRO,DAMPEN,4541.04,2,2
O1,MICRO,DAMPEN,4540.96,3,3
O1,MICRO,DAMPEN,4540.94,4,4
O1,MICRO,DAMPEN,4540.94,5,5
O1,MICRO,DAMPEN,4540.94,6,6
O1,MICRO,DAMPEN,4540.94,7,7
O1,MICRO,DAMPEN,4540.94,8,8
O1,MICRO,WINTER,4558.64,1,1
O1,MICRO,WINTER,4574.76,2,2
O1,MICRO,WINTER,4590.88,3,3
O1,MICRO,WINTER,4607,4,4
O1,MICRO,WINTER,4623.12,5,5
O1,MICRO,WINTER,4639.24,6,6
O1,MICRO,WINTER,4655.36,7,7
O1,MICRO,WINTER,4671.49,8,8
O1,MICRO,COMB S-H-D,4547.49,1,1
O1,MICRO,COMB S-H-D,4552.77,2,2
O1,MICRO,COMB S-H-D,4558.12,3,3
O1,MICRO,COMB S-H-D,4563.48,4,4
O1,MICRO,COMB S-H-D,4568.86,5,5
O1,MICRO,COMB S-H-D,4574.23,6,6
O1,MICRO,COMB S-H-D,4579.6,7,7
O1,MICRO,COMB S-H-D,4584.98,8,8
O1,MICRO,B-J auto,4540.07,1,1
O1,MICRO,B-J auto,4540.07,2,2
O1,MICRO,B-J auto,4540.07,3,3
O1,MICRO,B-J auto,4540.07,4,4
O1,MICRO,B-J auto,4540.07,5,5
O1,MICRO,B-J auto,4540.07,6,6
O1,MICRO,B-J auto,4540.07,7,7
O1,MICRO,B-J auto,4540.07,8,8
O1,MICRO,AutoBox1,4541.6,1,1
O1,MICRO,AutoBox1,4534.08,2,2
O1,MICRO,AutoBox1,4527.75,3,3
O1,MICRO,AutoBox1,4522.41,4,4
O1,MICRO,AutoBox1,4517.91,5,5
O1,MICRO,AutoBox1,4514.13,6,6
O1,MICRO,AutoBox1,4510.94,7,7
O1,MICRO,AutoBox1,4508.25,8,8
O1,MICRO,AutoBox2,4541.54,1,1
O1,MICRO,AutoBox2,4541.34,2,2
O1,MICRO,AutoBox2,4541.3,3,3
O1,MICRO,AutoBox2,4541.29,4,4
O1,MICRO,AutoBox2,4541.29,5,5
O1,MICRO,AutoBox2,4541.29,6,6
O1,MICRO,AutoBox2,4541.29,7,7
O1,MICRO,AutoBox2,4541.29,8,8
O1,MICRO,AutoBox3,4512.15,1,1
O1,MICRO,AutoBox3,4482.57,2,2
O1,MICRO,AutoBox3,4461,3,3
O1,MICRO,AutoBox3,4442.92,4,4
O1,MICRO,AutoBox3,4424.1,5,5
O1,MICRO,AutoBox3,4403.87,6,6
O1,MICRO,AutoBox3,4383.22,7,7
