series_id,category,method,forecast,horizon,timestamp
Y1,MICRO,NAIVE2,4936.99,1,1989
Y1,MICRO,NAIVE2,4936.99,2,1990
Y1,MICRO,NAIVE2,4936.99,3,1991
Y1,MICRO,NAIVE2,4936.99,4,1992
Y1,MICRO,NAIVE2,4936.99,5,1993
Y1,MICRO,NAIVE2,4936.99,6,1994
Y1,MICRO,SINGLE,4936.99,1,1989
Y1,MICRO,SINGLE,4936.99,2,1990
Y1,MICRO,SINGLE,4936.99,3,1991
Y1,MICRO,SINGLE,4936.99,4,1992
Y1,MICRO,SINGLE,4936.99,5,1993
Y1,MICRO,SINGLE,4936.99,6,1994
Y1,MICRO,HOLT,5406.43,1,1989
Y1,MICRO,HOLT,5875.96,2,1990
Y1,MICRO,HOLT,6345.48,3,1991
Y1,MICRO,HOLT,6815,4,1992
Y1,MICRO,HOLT,7284.53,5,1993
Y1,MICRO,HOLT,7754.05,6,1994
Y1,MICRO,DAMPEN,5473.87,1,1989
Y1,MICRO,DAMPEN,6010.43,2,1990
Y1,MICRO,DAMPEN,6546.63,3,1991
Y1,MICRO,DAMPEN,7082.48,4,1992
Y1,MICRO,DAMPEN,7617.99,5,1993
Y1,MICRO,DAMPEN,8153.15,6,1994
Y1,MICRO,WINTER,5406.43,1,1989
Y1,MICRO,WINTER,5875.96,2,1990
Y1,MICRO,WINTER,6345.48,3,1991
Y1,MICRO,WINTER,6815,4,1992
Y1,MICRO,WINTER,7284.53,5,1993
Y1,MICRO,WINTER,7754.05,6,1994
Y1,MICRO,COMB S-H-D,5272.43,1,1989
Y1,MICRO,COMB S-H-D,5607.79,2,1990
Y1,MICRO,COMB S-H-D,5943.03,3,1991
Y1,MICRO,COMB S-H-D,6278.16,4,1992
Y1,MICRO,COMB S-H-D,6613.17,5,1993
Y1,MICRO,COMB S-H-D,6948.06,6,1994
Y1,MICRO,B-J auto,5486.1,1,1989
Y1,MICRO,B-J auto,6035.21,2,1990
Y1,MICRO,B-J auto,6584.32,3,1991
Y1,MICRO,B-J auto,7133.43,4,1992
Y1,MICRO,B-J auto,7682.54,5,1993
Y1,MICRO,B-J auto,8231.65,6,1994
Y1,MICRO,AutoBox1,5442.92,1,1989
Y1,MICRO,AutoBox1,5969.23,2,1990
Y1,MICRO,AutoBox1,6495.55,3,1991
Y1,MICRO,AutoBox1,7021.87,4,1992
Y1,MICRO,AutoBox1,7548.18,5,1993
Y1,MICRO,AutoBox1,8074.5,6,1994
Y1,MICRO,AutoBox2,4930.25,1,1989
Y1,MICRO,AutoBox2,5479.36,2,1990
Y1,MICRO,AutoBox2,5472.61,3,1991
Y1,MICRO,AutoBox2,6021.72,4,1992
Y1,MICRO,AutoBox2,6014.98,5,1993
Y1,MICRO,AutoBox2,6564.09,6,1994
Y1,MICRO,AutoBox3,5168.32,1,1989
Y1,MICRO,AutoBox3,5569.49,2,1990
Y1,MICRO,AutoBox3,5970.65,3,1991
Y1,MICRO,AutoBox3,6371.82,4,1992
Y1,MICRO,AutoBox3,6772.99,5,1993
Y1,MICRO,AutoBox3,7174.16,6,1994
Y1,MICRO,ROBUST-Trend,5204.32,1,1989
Y1,MICRO,ROBUST-Trend,5471.66,2,1990
Y1,MICRO,ROBUST-Trend,5738.99,3,1991
Y1,MICRO,ROBUST-Trend,6006.32,4,1992
Y1,MICRO,ROBUST-Trend,6273.66,5,1993
Y1,MICRO,ROBUST-Trend,6540.99,6,1994
Y1,MICRO,ARARMA,5553.26,1,1989
Y1,MICRO,ARARMA,6246.45,2,1990
Y1,MICRO,ARARMA,7026.18,3,1991
Y1,MICRO,ARARMA,7903.23,4,1992
Y1,MICRO,ARARMA,8889.77,5,1993
Y1,MICRO,ARARMA,9999.45,6,1994
Y1,MICRO,Auto-ANN,5453.28,1,1989
Y1,MICRO,Auto-ANN,6003.49,2,1990
Y1,MICRO,Auto-ANN,6587.93,3,1991
Y1,MICRO,Auto-ANN,7206.76,4,1992
Y1,MICRO,Auto-ANN,7860.01,5,1993
Y1,MICRO,Auto-ANN,8547.55,6,1994
Y1,MICRO,Flors-Pearc1,5473.47,1,1989
Y1,MICRO,Flors-Pearc1,6009.76,2,1990
Y1,MICRO,Flors-Pearc1,6543.37,3,1991
Y1,MICRO,Flors-Pearc1,7074.31,4,1992
Y1,MICRO,Flors-Pearc1,7602.59,5,1993
Y1,MICRO,Flors-Pearc1,8128.24,6,1994
Y1,MICRO,Flors-Pearc2,4852.81,1,1989
Y1,MICRO,Flors-Pearc2,5107.47,2,1990
Y1,MICRO,Flors-Pearc2,5367.29,3,1991
Y1,MICRO,Flors-Pearc2,5632.25,4,1992
Y1,MICRO,Flors-Pearc2,5902.37,5,1993
Y1,MICRO,Flors-Pearc2,6177.64,6,1994
Y1,MICRO,PP-Autocast,5475.8,1,1989
Y1,MICRO,PP-Autocast,6014.62,2,1990
Y1,MICRO,PP-Autocast,6553.43,3,1991
Y1,MICRO,PP-Autocast,7092.24,4,1992
Y1,MICRO,PP-Autocast,7631.05,5,1993
Y1,MICRO,PP-Autocast,8169.86,6,1994
Y1,MICRO,ForecastPro,5486.1,1,1989
Y1,MICRO,ForecastPro,6035.21,2,1990
Y1,MICRO,ForecastPro,6584.32,3,1991
Y1,MICRO,ForecastPro,7133.43,4,1992
Y1,MICRO,ForecastPro,7682.54,5,1993
Y1,MICRO,ForecastPro,8231.65,6,1994
Y1,MICRO,SMARTFCS,5259,1,1989
Y1,MICRO,SMARTFCS,5675,2,1990
Y1,MICRO,SMARTFCS,6091,3,1991
Y1,MICRO,SMARTFCS,6507,4,1992
Y1,MICRO,SMARTFCS,6923,5,1993
Y1,MICRO,SMARTFCS,7340,6,1994
Y1,MICRO,THETAsm,5163.08,1,1989
Y1,MICRO,THETAsm,5390.88,2,1990
Y1,MICRO,THETAsm,5155.17,3,1991
Y1,MICRO,THETAsm,5147.46,4,1992
Y1,MICRO,THETAsm,5152.92,5,1993
Y1,MICRO,THETAsm,5205.49,6,1994
Y1,MICRO,THETA,5414.6,1,1989
Y1,MICRO,THETA,5934.47,2,1990
Y1,MICRO,THETA,6331.96,3,1991
Y1,MICRO,THETA,6822.35,4,1992
Y1,MICRO,THETA,7140.76,5,1993
Y1,MICRO,THETA,7602.15,6,1994
Y1,MICRO,RBF,5550.22,1,1989
Y1,MICRO,RBF,6152.23,2,1990
Y1,MICRO,RBF,6648.95,3,1991
Y1,MICRO,RBF,6965.22,4,1992
Y1,MICRO,RBF,7038.06,5,1993
Y1,MICRO,RBF,6807.54,6,1994
Y1,MICRO,ForcX,5282.58,1,1989
Y1,MICRO,ForcX,5282.58,2,1990
Y1,MICRO,ForcX,5282.58,3,1991
Y1,MICRO,ForcX,5282.58,4,1992
Y1,MICRO,ForcX,5282.58,5,1993
Y1,MICRO,ForcX,5282.58,6,1994
Y2,MICRO,NAIVE2,4230,1,1989
Y2,MICRO,NAIVE2,4230,2,1990
Y2,MICRO,NAIVE2,4230,3,1991
Y2,MICRO,NAIVE2,4230,4,1992
Y2,MICRO,NAIVE2,4230,5,1993
Y2,MICRO,NAIVE2,4230,6,1994
Y2,MICRO,SINGLE,4230,1,1989
Y2,MICRO,SINGLE,4230,2,1990
Y2,MICRO,SINGLE,4230,3,1991
Y2,MICRO,SINGLE,4230,4,1992
Y2,MICRO,SINGLE,4230,5,1993
Y2,MICRO,SINGLE,4230,6,1994
Y2,MICRO,HOLT,4142.6,1,1989
Y2,MICRO,HOLT,4055.47,2,1990
Y2,MICRO,HOLT,3968.34,3,1991
Y2,MICRO,HOLT,3881.21,4,1992
Y2,MICRO,HOLT,3794.09,5,1993
Y2,MICRO,HOLT,3706.96,6,1994
Y2,MICRO,DAMPEN,4275.16,1,1989
Y2,MICRO,DAMPEN,4290.45,2,1990
Y2,MICRO,DAMPEN,4295.56,3,1991
Y2,MICRO,DAMPEN,4297.27,4,1992
Y2,MICRO,DAMPEN,4297.84,5,1993
Y2,MICRO,DAMPEN,4298.03,6,1994
Y2,MICRO,WINTER,4142.6,1,1989
Y2,MICRO,WINTER,4055.47,2,1990
Y2,MICRO,WINTER,3968.34,3,1991
Y2,MICRO,WINTER,3881.21,4,1992
Y2,MICRO,WINTER,3794.09,5,1993
Y2,MICRO,WINTER,3706.96,6,1994
Y2,MICRO,COMB S-H-D,4215.92,1,1989
Y2,MICRO,COMB S-H-D,4191.97,2,1990
Y2,MICRO,COMB S-H-D,4164.63,3,1991
Y2,MICRO,COMB S-H-D,4136.16,4,1992
Y2,MICRO,COMB S-H-D,4107.31,5,1993
Y2,MICRO,COMB S-H-D,4078.33,6,1994
Y2,MICRO,B-J auto,4226.92,1,1989
Y2,MICRO,B-J auto,4224.08,2,1990
Y2,MICRO,B-J auto,4221.46,3,1991
Y2,MICRO,B-J auto,4219.04,4,1992
Y2,MICRO,B-J auto,4216.82,5,1993
Y2,MICRO,B-J auto,4214.77,6,1994
Y2,MICRO,AutoBox1,4235.54,1,1989
Y2,MICRO,AutoBox1,4239.8,2,1990
Y2,MICRO,AutoBox1,4243.09,3,1991
Y2,MICRO,AutoBox1,4245.62,4,1992
Y2,MICRO,AutoBox1,4247.58,5,1993
Y2,MICRO,AutoBox1,4249.08,6,1994
Y2,MICRO,AutoBox2,4391.67,1,1989
Y2,MICRO,AutoBox2,4513.11,2,1990
Y2,MICRO,AutoBox2,4604.32,3,1991
Y2,MICRO,AutoBox2,4672.83,4,1992
Y2,MICRO,AutoBox2,4724.29,5,1993
Y2,MICRO,AutoBox2,4762.95,6,1994
Y2,MICRO,AutoBox3,4230,1,1989
Y2,MICRO,AutoBox3,4230,2,1990
Y2,MICRO,AutoBox3,4230,3,1991
Y2,MICRO,AutoBox3,4230,4,1992
Y2,MICRO,AutoBox3,4230,5,1993
Y2,MICRO,AutoBox3,4230,6,1994
Y2,MICRO,ROBUST-Trend,4511.86,1,1989
Y2,MICRO,ROBUST-Trend,4793.72,2,1990
Y2,MICRO,ROBUST-Trend,5075.58,3,1991
Y2,MICRO,ROBUST-Trend,5357.44,4,1992
Y2,MICRO,ROBUST-Trend,5639.29,5,1993
Y2,MICRO,ROBUST-Trend,5921.15,6,1994
