"series_id","method","timestamp","origin_timestamp","forecast","lo80","hi80","lo90","hi90","lo95","hi95","horizon"
"Y1","ARIMA","1989","1988",5486.1,5363.60216503354,5608.59783496646,5328.87573095339,5643.32426904661,5298.75572828014,5673.44427171986,1
"Y1","ARIMA","1990","1988",6035.21,5761.29651391844,6309.12348608156,5683.64584669906,6386.77415330093,5616.2954732392,6454.12452676079,2
"Y1","ARIMA","1991","1988",6584.32,6125.97507093392,7042.66492906607,5996.04065234161,7172.59934765838,5883.3419218496,7285.29807815039,3
"Y1","ARIMA","1992","1988",7133.42999999999,6462.48172543323,7804.37827456676,6272.2772125591,7994.58278744089,6107.30316359656,8159.55683640343,4
"Y1","ARIMA","1993","1988",7682.53999999999,6774.07174164922,8591.00825835076,6516.53361376181,8848.54638623818,6293.15769550514,9071.92230449484,5
"Y1","ARIMA","1994","1988",8231.64999999999,7063.09513136788,9400.20486863211,6731.82606342313,9731.47393657685,6444.49955045519,10018.8004495448,6
"Y2","ARIMA","1989","1988",4230,3286.10589510579,5173.89410489421,3018.52503197279,5441.47496802721,2786.43853860366,5673.56146139634,1
"Y2","ARIMA","1990","1988",4230,2895.13215541459,5564.86784458541,2516.71566974041,5943.28433025959,2188.49580317417,6271.50419682583,2
"Y2","ARIMA","1991","1988",4230,2595.12745335847,5864.87254664153,2131.663803279,6328.336196721,1729.67820501316,6730.32179498684,3
"Y2","ARIMA","1992","1988",4230,2342.21179021157,6117.78820978843,1807.05006394559,6652.94993605441,1342.87707720732,7117.12292279268,4
"Y2","ARIMA","1993","1988",4230,2119.38861789522,6340.61138210478,1521.05961845178,6938.94038154822,1002.09844261884,7457.90155738116,5
"Y2","ARIMA","1994","1988",4230,1917.94107178811,6542.05892821189,1262.50449217878,7197.49550782122,694.011007232569,7765.98899276743,6
"Y3","ARIMA","1989","1988",3525.2,2612.92669473074,4437.47330526926,2354.30988891385,4696.09011108615,2129.9983784209,4920.4016215791,1
"Y3","ARIMA","1990","1988",3525.2,2235.05071909729,4815.34928090271,1869.31132485343,5181.08867514657,1552.08694451791,5498.31305548209,2
"Y3","ARIMA","1991","1988",3525.2,1945.09628488485,5105.30371511515,1497.15883751882,5553.24116248118,1108.63990462252,5941.76009537748,3
"Y3","ARIMA","1992","1988",3525.2,1700.65338946149,5349.74661053851,1183.4197778277,5866.9802221723,734.796756841805,6315.6032431582,4
"Y3","ARIMA","1993","1988",3525.2,1485.29487535952,5565.10512464048,907.010117429093,6143.38988257091,405.4343318312,6644.9656681688,5
"Y3","ARIMA","1994","1988",3525.2,1290.59589612805,5759.80410387195,657.116682968224,6393.28331703178,107.667938827543,6942.73206117246,6
"Y4","ARIMA","1989","1988",4632.3,3701.49599287722,5563.10400712278,3437.62599057281,5826.97400942719,3208.75811555703,6055.84188444298,1
"Y4","ARIMA","1990","1988",4632.3,3315.94434921575,5948.65565078425,2942.77581325342,6321.82418674658,2619.10776041459,6645.49223958541,2
"Y4","ARIMA","1991","1988",4632.3,3020.10016777465,6244.49983222535,2563.06391719009,6701.53608280991,2166.65312944242,7097.94687055758,3
"Y4","ARIMA","1992","1988",4632.3,2770.69198575445,6493.90801424555,2242.95198114562,7021.64801885438,1785.21623111405,7479.38376888595,4
"Y4","ARIMA","1993","1988",4632.3,2550.95896634427,6713.64103365573,1960.92770396858,7303.67229603143,1449.16357756736,7815.43642243264,5
"Y4","ARIMA","1994","1988",4632.3,2352.30513201128,6912.29486798872,1705.95826793844,7558.64173206156,1145.3487556347,8119.2512443653,6
"Y5","ARIMA","1989","1988",5500.71673353233,4540.37296228078,6461.06050478389,4268.12884730701,6733.30461975766,4031.99767841531,6969.43578864936,1
"Y5","ARIMA","1990","1988",5507.74354644513,4392.87661743479,6622.61047545546,4076.82733436776,6938.6597585225,3802.70171499415,7212.78537789611,2
"Y5","ARIMA","1991","1988",5511.88697212276,4348.08975438494,6675.68418986058,4018.16941436019,7005.60452988534,3732.01272172167,7291.76122252386,3
"Y5","ARIMA","1992","1988",5514.33018166301,4333.99514200407,6694.66522132195,3999.38655926115,7029.27380406487,3709.16351524091,7319.49684808511,4
"Y5","ARIMA","1993","1988",5515.77084292304,4329.73966149344,6701.80202435263,3993.51630170761,7038.02538413846,3701.89267942077,7329.6490064253,5
"Y5","ARIMA","1994","1988",5516.62034225248,4328.61502204262,6704.62566246234,3991.83202134365,7041.40866316131,3699.72299402614,7333.51769047882,6
"Y6","ARIMA","1989","1988",4297.44384615548,4013.44838960701,4581.43930270396,3932.93962385133,4661.94806845963,3863.11027615084,4731.77741616013,1
"Y6","ARIMA","1990","1988",4500.25769231097,4098.62746600777,4901.88791861416,3984.77087758618,5015.74450703576,3886.01726701648,5114.49811760546,2
"Y6","ARIMA","1991","1988",4703.07153846645,4211.17697860577,5194.96609832713,4071.73170586228,5334.41137107062,3950.78372778564,5455.35934914726,3
"Y6","ARIMA","1992","1988",4905.88538462194,4337.89447152498,5473.87629771889,4176.87694001364,5634.89382923024,4037.21824461265,5774.55252463122,4
"Y6","ARIMA","1993","1988",5108.69923077742,4473.66608463394,5743.7323769209,4293.64301161965,5923.75544993519,4137.49984333688,6079.89861821796,5
"Y6","ARIMA","1994","1988",5311.5130769329,4615.86911912038,6007.15703474542,4418.66372319773,6204.36243066808,4247.61745226013,6375.40870160567,6
"Y7","ARIMA","1989","1988",5128.51,4391.58865671874,5865.43134328126,4182.68169557354,6074.33830442646,4001.48606190637,6255.53393809363,1
"Y7","ARIMA","1990","1988",5128.51,4086.34584192945,6170.67415807055,3790.90678420375,6466.11321579625,3534.65746162885,6722.36253837115,2
"Y7","ARIMA","1991","1988",5128.51,3852.12479225496,6404.89520774504,3490.28732149665,6766.73267850335,3176.44727787546,7080.57272212454,3
"Y7","ARIMA","1992","1988",5128.51,3654.66731343749,6602.35268656251,3236.85339114708,7020.16660885292,2874.46212381273,7382.55787618727,4
"Y7","ARIMA","1993","1988",5128.51,3480.70378235265,6776.31621764735,3013.57361625907,7243.44638374093,2608.40786215312,7648.61213784688,5
"Y7","ARIMA","1994","1988",5128.51,3323.42872839456,6933.59127160544,2811.71326987338,7445.30673012662,2367.87642376854,7889.14357623146,6
"Y8","ARIMA","1989","1988",9648.38336837188,8272.45839343077,11024.308343313,7882.40278179811,11414.3639549457,7544.08770925204,11752.6790274917,1
"Y8","ARIMA","1990","1988",11008.3967367438,8719.06177470638,13297.7316987811,8070.0671237533,13946.7263497342,7507.16105120593,14509.6324222816,2
"Y8","ARIMA","1991","1988",12368.4101051156,9134.91453253615,15601.9056776951,8218.26346780205,16518.5567424292,7423.20537296555,17313.6148372657,3
"Y8","ARIMA","1992","1988",13728.4234734875,9491.87709609576,17964.9698508793,8290.87506579652,19165.9718811785,7249.1849147231,20207.6620322519,4
"Y8","ARIMA","1993","1988",15088.4368418594,9784.53376386315,20392.3399198557,8280.95094008545,21895.9227436333,6976.81707574707,23200.0566079717,5
