series_id,timestamp,value
Y1,1975,940.66
Y1,1976,1084.86
Y1,1977,1244.98
Y1,1978,1445.02
Y1,1979,1683.17
Y1,1980,2038.15
Y1,1981,2342.52
Y1,1982,2602.45
Y1,1983,2927.87
Y1,1984,3103.96
Y1,1985,3360.27
Y1,1986,3807.63
Y1,1987,4387.88
Y1,1988,4936.99
Y1,1989,5379.75
Y1,1990,6158.68
Y1,1991,6876.58
Y1,1992,7851.91
Y1,1993,8407.84
Y1,1994,9156.01
Y2,1975,1991.05
Y2,1976,2306.4
Y2,1977,2604
Y2,1978,2992.3
Y2,1979,3722.08
Y2,1980,5226.62
Y2,1981,5989.46
Y2,1982,5614.62
Y2,1983,5527
Y2,1984,5389.8
Y2,1985,5384.4
Y2,1986,3656.2
Y2,1987,4034.8
Y2,1988,4230
Y2,1989,4793.2
Y2,1990,5602
Y2,1991,5065
Y2,1992,5056
Y2,1993,5067.2
Y2,1994,5209.6
Y3,1975,1461.57
Y3,1976,1692.5
Y3,1977,2193.82
Y3,1978,2459.68
Y3,1979,3246.8
Y3,1980,4748.86
Y3,1981,5559.46
Y3,1982,5292.42
Y3,1983,5029.4
Y3,1984,4753.6
Y3,1985,4344.6
Y3,1986,2897.4
Y3,1987,3256.4
Y3,1988,3525.2
Y3,1989,3070.2
Y3,1990,3601.6
Y3,1991,3407.4
Y3,1992,3500.6
Y3,1993,3437.8
Y3,1994,3007
Y4,1975,744.54
Y4,1976,1105.16
Y4,1977,1417.4
Y4,1978,1838.04
Y4,1979,2337.62
Y4,1980,3094.88
Y4,1981,4280.04
Y4,1982,5070.2
Y4,1983,3675.18
Y4,1984,3667.38
Y4,1985,3808.64
Y4,1986,3114.42
Y4,1987,3847.2
Y4,1988,4632.3
Y4,1989,4656
Y4,1990,5228.52
Y4,1991,5656.72
Y4,1992,5077.02
Y4,1993,5403.4
Y4,1994,5009.52
Y5,1975,4977.18
Y5,1976,5248
Y5,1977,5370
Y5,1978,6184.89
Y5,1979,7137.19
Y5,1980,6743
Y5,1981,7298
Y5,1982,5260.29
Y5,1983,4898.18
Y5,1984,5392.04
Y5,1985,5117.64
Y5,1986,4332.9
Y5,1987,4620.5
Y5,1988,5488.8
Y5,1989,5250.9
Y5,1990,4899.2
Y5,1991,4317.9
Y5,1992,4007.9
Y5,1993,4323.4
Y5,1994,4819.4
Y6,1975,1458.05
Y6,1976,1931.53
Y6,1977,2315.78
Y6,1978,2573.11
Y6,1979,2916.61
Y6,1980,3018.94
Y6,1981,3107.36
Y6,1982,2912.45
Y6,1983,3450.89
Y6,1984,3816.85
Y6,1985,3737.22
Y6,1986,3739.97
Y6,1987,3820.81
Y6,1988,4094.63
Y6,1989,4338.03
Y6,1990,4185.92
Y6,1991,3950.49
Y6,1992,3715.59
Y6,1993,3958.3
Y6,1994,4140.39
Y7,1975,2399.26
Y7,1976,2910.52
Y7,1977,3126.62
Y7,1978,3475.14
Y7,1979,3750.96
Y7,1980,3752.72
Y7,1981,4004.02
Y7,1982,3737.38
Y7,1983,4263.98
Y7,1984,5121.08
Y7,1985,5769.76
Y7,1986,4387.62
Y7,1987,4614.72
Y7,1988,5128.51
Y7,1989,5163.21
Y7,1990,5089.94
Y7,1991,4786.4
Y7,1992,4926.47
Y7,1993,5068.83
Y7,1994,5318.19
Y8,1975,420.06
Y8,1976,423.66
Y8,1977,476.43
Y8,1978,576.81
Y8,1979,743.19
Y8,1980,881.73
Y8,1981,1345.29
Y8,1982,1371
Y8,1983,1551.63
Y8,1984,3146.37
Y8,1985,3111.66
Y8,1986,3572.88
Y8,1987,7150.65
Y8,1988,8288.37
Y8,1989,8809.8
Y8,1990,8953.5
Y8,1991,7991.01
Y8,1992,7294.08
Y8,1993,7163.37
Y8,1994,7478.31
Y9,1975,1325.42
Y9,1976,1801.76
Y9,1977,1996.05
Y9,1978,2865.77
Y9,1979,3543.31
Y9,1980,4826.29
Y9,1981,6073.39
Y9,1982,7335.71
Y9,1983,5300.43
Y9,1984,4401.13
Y9,1985,4168.4
Y9,1986,4660.26
Y9,1987,3924.48
Y9,1988,5132.45
Y9,1989,6277.6
Y9,1990,7446.28
Y9,1991,6741.69
Y9,1992,6600.69
Y9,1993,7850.17
Y9,1994,8485.26
Y10,1975,2160.04
Y10,1976,2553.48
Y10,1977,2901.18
Y10,1978,3205.21
Y10,1979,4059.58
Y10,1980,4742.69
Y10,1981,5063.38
Y10,1982,6154.5
Y10,1983,7146.27
Y10,1984,7839
Y10,1985,8163.77
Y10,1986,8892
Y10,1987,9344
Y10,1988,9551
Y10,1989,10042.9
Y10,1990,10173
Y10,1991,8751
Y10,1992,3472
Y10,1993,3187
Y10,1994,3058
Y11,1975,1339.91
Y11,1976,1569.73
Y11,1977,1751.86
Y11,1978,1965.37
Y11,1979,2246.05
Y11,1980,2495.9
Y11,1981,2724
Y11,1982,2650
Y11,1983,2679.7
Y11,1984,2794.7
Y11,1985,2828.5
Y11,1986,3521.1
Y11,1987,3931.5
Y11,1988,4941.4
Y11,1989,5388.4
Y11,1990,5766.2
Y11,1991,5937.9
Y11,1992,5627.4
Y11,1993,5982.7
Y11,1994,5931.6
Y12,1975,490.58
Y12,1976,555.83
Y12,1977,680
Y12,1978,864
Y12,1979,1180.5
Y12,1980,1549.5
Y12,1981,1789
Y12,1982,2127
Y12,1983,2355
Y12,1984,3022
Y12,1985,3252.5
Y12,1986,3551
Y12,1987,4045
Y12,1988,4915.5
Y12,1989,5949.5
Y12,1990,6616.5
Y12,1991,7247
Y12,1992,8205
Y12,1993,10158.5
Y12,1994,12495.5
Y13,1975,1443.65
