series_id,actual,method,timestamp,origin_timestamp,horizon,variable,value
Y1,5379.75,A,1989,1988,1,forecast,5406.43
Y1,6158.68,A,1990,1988,2,forecast,5875.96
Y1,6876.58,A,1991,1988,3,forecast,6345.48
Y1,5379.75,B,1989,1988,1,forecast,5473.87
Y1,6158.68,B,1990,1988,2,forecast,6010.43
Y1,6876.58,B,1991,1988,3,forecast,6546.63
Y1,5379.75,C,1989,1988,1,forecast,5406.43
Y1,6158.68,C,1990,1988,2,forecast,5875.96
Y1,6876.58,C,1991,1988,3,forecast,6345.48
Y2,4793.2,A,1989,1988,1,forecast,4142.6
Y2,5602,A,1990,1988,2,forecast,4055.47
Y2,5065,A,1991,1988,3,forecast,3968.34
Y2,4793.2,B,1989,1988,1,forecast,4275.16
Y2,5602,B,1990,1988,2,forecast,4290.45
Y2,5065,B,1991,1988,3,forecast,4295.56
Y2,4793.2,C,1989,1988,1,forecast,4142.6
Y2,5602,C,1990,1988,2,forecast,4055.47
Y2,5065,C,1991,1988,3,forecast,3968.34
Y3,3070.2,A,1989,1988,1,forecast,3535.47
Y3,3601.6,A,1990,1988,2,forecast,3546.07
Y3,3407.4,A,1991,1988,3,forecast,3556.67
Y3,3070.2,B,1989,1988,1,forecast,3622.41
Y3,3601.6,B,1990,1988,2,forecast,3657.56
Y3,3407.4,B,1991,1988,3,forecast,3670.27
Y3,3070.2,C,1989,1988,1,forecast,3535.47
Y3,3601.6,C,1990,1988,2,forecast,3546.07
Y3,3407.4,C,1991,1988,3,forecast,3556.67
Y4,4656,A,1989,1988,1,forecast,4971.59
Y4,5228.52,A,1990,1988,2,forecast,5311.33
Y4,5656.72,A,1991,1988,3,forecast,5651.06
Y4,4656,B,1989,1988,1,forecast,4795.99
Y4,5228.52,B,1990,1988,2,forecast,4830.29
Y4,5656.72,B,1991,1988,3,forecast,4837.46
Y4,4656,C,1989,1988,1,forecast,4971.59
Y4,5228.52,C,1990,1988,2,forecast,5311.33
Y4,5656.72,C,1991,1988,3,forecast,5651.06
Y5,5250.9,A,1989,1988,1,forecast,5346.03
Y5,4899.2,A,1990,1988,2,forecast,5272.95
Y5,4317.9,A,1991,1988,3,forecast,5199.87
Y5,5250.9,B,1989,1988,1,forecast,5425.01
Y5,4899.2,B,1990,1988,2,forecast,5427.97
Y5,4317.9,B,1991,1988,3,forecast,5428.39
Y5,5250.9,C,1989,1988,1,forecast,5346.03
Y5,4899.2,C,1990,1988,2,forecast,5272.95
Y5,4317.9,C,1991,1988,3,forecast,5199.87
Y1,5379.75,A,1989,1988,1,Lo90,5183.349437
Y1,6158.68,A,1990,1988,2,Lo90,5652.879437
Y1,6876.58,A,1991,1988,3,Lo90,6122.399437
Y1,5379.75,B,1989,1988,1,Lo90,5250.789437
Y1,6158.68,B,1990,1988,2,Lo90,5787.349437
Y1,6876.58,B,1991,1988,3,Lo90,6323.549437
Y1,5379.75,C,1989,1988,1,Lo90,5183.349437
Y1,6158.68,C,1990,1988,2,Lo90,5652.879437
Y1,6876.58,C,1991,1988,3,Lo90,6122.399437
Y2,4793.2,A,1989,1988,1,Lo90,3919.519437
Y2,5602,A,1990,1988,2,Lo90,3832.389437
Y2,5065,A,1991,1988,3,Lo90,3745.259437
Y2,4793.2,B,1989,1988,1,Lo90,4052.079437
Y2,5602,B,1990,1988,2,Lo90,4067.369437
Y2,5065,B,1991,1988,3,Lo90,4072.479437
Y2,4793.2,C,1989,1988,1,Lo90,3919.519437
Y2,5602,C,1990,1988,2,Lo90,3832.389437
Y2,5065,C,1991,1988,3,Lo90,3745.259437
