"","series_id","value","timestamp"
"1","Y1",3103.96,1984
"2","Y1",3360.27,1985
"3","Y1",3807.63,1986
"4","Y1",4387.88,1987
"5","Y1",4936.99,1988
"6","Y1",5379.75,1989
"7","Y1",6158.68,1990
"8","Y1",6876.58,1991
"9","Y2",5389.8,1984
"10","Y2",5384.4,1985
"11","Y2",3656.2,1986
"12","Y2",4034.8,1987
"13","Y2",4230,1988
"14","Y2",4793.2,1989
"15","Y2",5602,1990
"16","Y2",5065,1991
"17","Y3",4753.6,1984
"18","Y3",4344.6,1985
"19","Y3",2897.4,1986
"20","Y3",3256.4,1987
"21","Y3",3525.2,1988
"22","Y3",3070.2,1989
"23","Y3",3601.6,1990
"24","Y3",3407.4,1991
"25","Y4",3667.38,1984
"26","Y4",3808.64,1985
"27","Y4",3114.42,1986
"28","Y4",3847.2,1987
"29","Y4",4632.3,1988
"30","Y4",4656,1989
"31","Y4",5228.52,1990
"32","Y4",5656.72,1991
"33","Y5",5392.04,1984
"34","Y5",5117.64,1985
"35","Y5",4332.9,1986
"36","Y5",4620.5,1987
"37","Y5",5488.8,1988
"38","Y5",5250.9,1989
"39","Y5",4899.2,1990
"40","Y5",4317.9,1991
